Epoch	Loss	LE	LC	ValMAE	ValMSE
1	0.102475	0.101498	0.977477	N/A	N/A
2	0.003182	0.002420	0.761549	N/A	N/A
3	0.000971	0.000537	0.433800	N/A	N/A
4	0.000523	0.000227	0.296166	N/A	N/A
5	0.000349	0.000132	0.216357	2192.3141760253907	2589.879532525077
6	0.000224	0.000074	0.150250	N/A	N/A
7	0.000147	0.000045	0.102121	N/A	N/A
8	0.000105	0.000030	0.075065	N/A	N/A
9	0.000105	0.000033	0.071549	N/A	N/A
10	0.000063	0.000016	0.046413	462.33272079467775	769.092638909142
11	0.000074	0.000019	0.055320	N/A	N/A
12	0.000060	0.000015	0.044920	N/A	N/A
13	0.000049	0.000011	0.037699	N/A	N/A
14	0.000045	0.000010	0.035566	N/A	N/A
15	0.000051	0.000011	0.039645	331.1986494445801	560.8713827924441
16	0.000059	0.000014	0.045240	N/A	N/A
17	0.000058	0.000012	0.045778	N/A	N/A
18	0.000047	0.000010	0.037680	N/A	N/A
19	0.000061	0.000014	0.047034	N/A	N/A
20	0.000046	0.000009	0.036072	329.75093887329103	537.7693257047562
21	0.000046	0.000010	0.036196	N/A	N/A
22	0.000047	0.000009	0.037492	N/A	N/A
23	0.000039	0.000007	0.031966	N/A	N/A
24	0.000047	0.000009	0.037977	N/A	N/A
25	0.000043	0.000007	0.035997	315.4906887817383	439.9550800682448
26	0.000042	0.000008	0.034207	N/A	N/A
27	0.000049	0.000009	0.039796	N/A	N/A
28	0.000052	0.000011	0.040640	N/A	N/A
29	0.000047	0.000010	0.036967	N/A	N/A
30	0.000046	0.000008	0.037813	307.71717430114745	420.5593054885641
31	0.000044	0.000009	0.035550	N/A	N/A
32	0.000046	0.000009	0.036891	N/A	N/A
33	0.000057	0.000012	0.045771	N/A	N/A
34	0.000049	0.000010	0.039204	N/A	N/A
35	0.000045	0.000009	0.036565	319.54946563720705	449.866976457296
36	0.000041	0.000007	0.033771	N/A	N/A
37	0.000042	0.000008	0.033766	N/A	N/A
38	0.000047	0.000009	0.037934	N/A	N/A
39	0.000045	0.000008	0.037257	N/A	N/A
40	0.000045	0.000008	0.036573	361.9248385620117	462.12843009431526
41	0.000041	0.000007	0.033666	N/A	N/A
42	0.000044	0.000008	0.036412	N/A	N/A
43	0.000045	0.000008	0.037017	N/A	N/A
44	0.000041	0.000008	0.033123	N/A	N/A
45	0.000069	0.000016	0.052574	405.2243798828125	563.1093795381607
46	0.000059	0.000012	0.046364	N/A	N/A
